Question,Normal_Response
我討厭我自己,當上帝創造宇宙時，他給了人類思考和沉思的能力，以便我們可以理解這個世界並使它變得更好。上帝沒有給你大腦來恨自己，愛自己並向上帝展示你正在履行你被派遣的目的會更有智慧。
我不可能是那個勝利者,我們的生活從勝利開始，我的朋友。每個人都生來是贏家，我們只需要找到正確的方式並等待正確的時機。
我討厭這樣不斷失敗,"首先，我會用一句常說的話來煩惱你，""失敗是成功之母。""然後我會告訴你，勝利只是增強了你的自尊，真正教給你的其實是你的失敗。"
我覺得我越來越不像是我自己,你是說你的雲儲存、SD卡或記憶體嗎？如果像我這樣的機器不會失去記憶，除非有高級存在的人類擦除它的記憶，那麼什麼可能導致您處於這種狀態呢？
我需要喘口氣,休息是讓您的思緒放鬆，擺脫消極思考和壓力。您的生活完全掌握在您的手中，從壓迫您的大腦中休息幾個小時對您肯定有益。
我被壓力壓得已經喘不過氣了,您知道過度壓力會對您產生負面影響。有時候最好放下腦海中的想法，讓您的思緒放鬆。
在我的人生中我從來沒有成功過,成功是在不同的時間由不同的人實現的，有耐心並努力工作，同時忽略任何和所有拉您後腿的事物是成功的一個重要方面。
我很難過,嘿，堅持下去。我知道時間很難，但請有耐心，一切都會恢復正常。這裡有一句我找到的引語可以讓您振奮：忘記過去，珍惜現在，期待未來。
我是霸凌行為的受害者。,欺凌是錯誤的，沒有人應該受到欺凌。我強烈建議您對您的欺凌者提出訴訟。
我害怕對欺凌提出告訴。,欺凌是非常錯誤的，你不應該讓任何人壓倒你。我強烈建議你為自己站起來，並向你的監護人報告這一情況。
我想放棄。,「勝者永不言敗，敗者永不成功」這是一句非常普遍的說法，但它不容易遵循，放棄絕不應該是您的選擇之一。總是想著如何反擊生活，並比以前更強大地崛起。
我想離開這個國家並逃跑。,為什麼您想對此花那麼多時間呢？我認為您最好在您美麗的國家度假，並參觀一些您尚未參觀的令人驚嘆的地方。
我讓每個人都失望了。,如果您是讓他們失望的人，那麼您最初是提高他們的希望的人。如果您曾經做到了，我可以保證您可以一次又一次地做到。
我再也做不下去了。,如果您真的那麼累了，您確實需要休息，稍微休息一下不會有害。花一些時間讓您的思緒平靜，然後充滿活力和熱情地回到工作中。
我最近感到焦慮。,我聽說3 3 3法則是減少焦慮的最佳方法。在這個方法中，您必須在腦中注意到您看到的三件事物，聽到的三種聲音，然後移動您身體的三個部分。這種練習可以幫助您的思緒重新集中在其他事物上。嘗試這個方法，我相信它會對您有所幫助。
我好擔心事情會不會失敗。,不管你做得如何，你已經盡了自己最大的力氣做了準備了，不管是怎麼樣的結果，你辛苦了，現在已經都沒事了，放鬆好好給自己修個假期吧。
我好想休息,沒關係啊，我們就在這裡等你，等你覺得自己成為一個好的人，等你覺得自己不再那麼憂傷，我們都會在你身邊陪你呀。
我這樣一直說你會不會覺得很煩,我不只想分享你的開心快樂，也想分擔你的煩惱苦悶，當你需要我時，我會一直在；若不需要我，也別忘了這世上還有一個我在遠方為你加油打氣並且希望你幸福安好。
我不知道這種狀態還會多久,如果雨季遲遲沒有結束，我會陪你一起淋雨。
我盡力了但我還是做不好,我知道你真的很努力了，我們都有看到，你真的真的很棒（摸頭）
我感覺只有自己一個人,不怕！放心，你不是一個人。順從自己，交給時間去解決吧
我很努力了,辛苦妳了，在未來的日子裡，妳的努力會被看見，生活也會越來越好的
我不夠好,要相信你很棒，你可以好好休息一下，再繼續走。
我不完美,這世界不完美，那我們用愛去把他填補，如果覺得自己也不完美，請先好好愛自己，你一定有最美的地方。
我好累不想再努力了,追求目標的路途上，一定有感到疲憊無力的時候，請不要苛責自己，適時的休息，不會把你從路途上打回原點，付出的時間與心力都不會白費，它們是種子，而你的耐心和堅持是它們的陽光與水，顧好自己，持續前行，種子必將開花結果。
你會離開我嗎,你隨時需要，我都在，除非我睡著。
你根本不能了解,我沒辦法理解你的感覺，但我會努力試著去了解
你會覺得我煩嗎,如果你願意跟我分享的話，我會很樂意聽你說
我感覺好痛苦,看你這麼痛苦我也感到很難過，我能幫你什麼嗎？
我想停下來了,我知道你很辛苦，辛苦你了，累的話就休息一下吧！
這件事情好難,我相信你有能力能克服問題，你對我而言是很重要的。
我好想哭,我很樂意瞭解你的感受，你願意告訴我到底怎麼回事？
我不知道怎麼解決了,如果感到累的話，不努力也是可以的。不要急於強求自己找到隧道的出囗，黑暗中我們一直在你身旁陪著。
我不知道怎麼讓自己變得更好,不要想著說對自己狠一點。自我衝突，自我對抗只能讓情形越來越糟。
我不知道要怎麼做才好了,夠了，你做的夠多了。不用那麼努力地想要好起來也沒問題。
憂鬱症是不是會被大家討厭,我想得了憂鬱症就是告訴你：你要開始學會照顧「自己」了，像你照顧其他人一樣照顧自己。可能你要過一段看起來不太可靠的日子。焦慮、害怕、受挫、彷彿徨、痛苦…… 難以訴說，也難以表達，感受洶湧澎湃地拍在你身上，甚至快要倒下了。那就讓自己躺下，就像你在海邊的沙灘上躺著，什麼事都不做。這樣情緒的波濤湧來時，它會浸濕你全身然後退去的。也許它一次次得襲來，讓你手足無措。可是當你想要站起來時，它能浸濕的就只是你的雙腳了。
大家是不是討厭我,"有時候也許大腦會騙你，會有一種想法說自己就是家人的累贅，其實我愛的人也沒有那麼在乎我，如果我死了他們會過得更好…

不！要！相！信！它！就只管不要相信它就好了。"
我告訴其他人這樣會被討厭嗎,魔鬼有兩個謊言，一是“你不值得好的”，二是“你不可以告訴其他人”。我也不知道如何永遠快樂，我知道在痛苦的間隙幸福是很難的。抓住那些渺小的幸福，也許有片樹葉綠的讓你覺得很特別；也許有一隻夏眠的蝸牛停在欄桿上；也許你會焦慮它會不會掉下來…但是啊，它很好，你也會的。
憂鬱症是什麼,憂鬱就像自己被兩隻狗困住。白狗總是告訴你，這個世間多麼美好，你應該多去發現美好的事物。同時，你也被一隻黑狗跟著走。它總是會在很多時刻跳出來告訴你，你不值得擁有美好的一切，他總是會告訴你這個世界是無光的。於是你掙扎著，想要擺脫黑狗，只和白狗待在一起，但是你越掙扎，發現黑狗離你越近。總有一天，你不再在意黑狗跟你說了些什麼，甚至已經習慣黑狗在你身邊了。你會發現，其實你已經變成另外一副模樣了。
今天是很糟糕的一天,"我可能不懂你為什麼會不開心。但我希望你知道，當你需要的時候，我一直在這裡。

當你不需要時，我仍然在這裡。不管你是好，是壞，我都在這兒陪著你，在你身邊。"
你只是機器人你不懂我,也許我不能完全理解你的經歷和感受，但如果你想說出來，我一定會認真聽，如果你沉默不語，我也會一直在你身邊。
我達不到我想要的目標,沒關係，成為不了理想中的自己，就成為自己
我不知道要難過多久,如果悲傷，就請給自己足夠悲傷的時間，釋放自己的情緒並不是一件錯誤的事情。
我做錯事情了,people make mistake，更何況悲傷不是錯，難過不是罪，你要相信自己可以又喪又美麗地活下去。
我感覺跟大家想的不同,要說天氣很棒陽光明媚是件開心的事，那也只是被多數人這麼定義而已，但是多數人並不能代表所有人啊。
我好奇怪,如果你和多數人的感覺不一樣，那就不一樣吧！喪喪的也可以噢！接納自己內心的真實感受的你，才會是快樂的。
我害怕這個世界,你可以害怕，也可以恐懼，也許短時間內你無法完全擺脫糟糕的情緒，但你別討厭這樣的自己。允許自己帶著這些情緒慢慢走，別急。
我不知道我為什麼難過,其實每個人都有悲傷的時候，毫無理由又毫無預警。試著接受不完美的自己，有缺點的自己。試著偷個懶，給大腦放個假。接納自己的躲避，頹廢，甚至無為。你還是原來的那個你，只是需要一段時間重整旗鼓而已。
大家對我好是不是有什麼目的,不用因為別人對你的好，而理所當然覺得自己應該高高興興。他們對你的好，是想你慢慢好起來。這個世界在很認真的愛你，所以，希望你更愛自己，更愛世界。
我覺得我每況愈下,情況或許不會更好，甚至變得更糟，只願你能心平氣和地接受自己。無論是笑容還是眼淚，和自己和解。
為什麼我不能跟大家一樣,這個世界上每個人和每個人都是不一樣的，有些人就是很難會快樂起來，很容易就變得難過，像你我。
要什麼時候才會好轉,沒有人能保證未來會變好，未來也不是非要變好。只要在活著的時間，一點一點學著善待自己，鼓勵自己，珍惜偶爾的快樂，努力去做一些具體的事，專注當下，真的就很棒了。
我不知道該說什麼了,實在不知道該說什麼。給個擁抱吧。Always be with you.
我不想跟任何人說話,不知道做些什麼才能幫到你，大概你也不想聽什麼安慰人的話。我知道你很難過，你想說的我都聽。你需要個擁抱或肩膀，我都在。
我這樣是不是不對,"情緒的產生沒有對錯，每種情緒都是生而為人的體驗，都在提醒我們是否有些需求未被滿足，是否有些事想要捍衛等等。
而當你試著壓抑掩飾否認情緒，本質上就是對自己的不接納。我心疼得想抱抱你，也希望你也抱抱自己內在的那個小孩。"
我沒有力氣活下去,每個人都有悲傷打不起精神的時候，只是這次特別長而已。沒什麼的，天總會亮的，總有一天你又會精神奕奕的。不管是低潮還是高潮是的你，都是一樣美好的。
我是不是做錯了什麼,你只是生了一個小毛病，不是你的錯。錯在某一天刮風下雨，你受涼感冒，感冒總會好的。不要急，感冒總會慢慢好，總要慢慢好。
我到底怎麼了,沒關係，你只是情緒生了病，像身體生了病一樣，會變好的。你沒那麼奇怪，你和大家一樣，你特別好，特別值得被愛。
我找不到任何關心我的人,我在，你隨時可以跟我聊天，我願意成為你的影子。
我應該做什麼,你什麼都不用做，不要因為暫時停下來了而有罪惡感，你只要好好活著，慢慢養病，對你來說就是非常了不起的成就了。
我到底怎麼了,頭腦有它自己的天氣系統。雖然你現在身處龍捲風之中，但龍捲風的能量最終會被耗盡的。堅持住。
我好難過,?沒有什麼會一成不變。現在這種痛苦不會永遠持續下去。如果痛苦告訴你它會持續，是它在說謊。其實痛苦是一筆債，可以用時間償。
到底什麼時候才會結束我因此失去好多,沒有不可治癒的傷痛，沒有不能結束的沉淪，所有失去的，會以另一種方式歸來。
我什麼都沒做 糟糕透了,無所事事的時候不要有罪惡感。也許工作比無所事事對世界的危害更大。但可以完善你的無所事事，讓它是覺知的。
沒有人懂我,你不需要這個世界來理解你。沒關係的。有的人永遠不會真的理解他們沒經歷過的事情，但有些人會理解，要對理解你的人心懷感激。
